餐廳,經度,緯度
串燒き屋台,22.9980249,120.2031155
安平樹屋咖啡館,23.0037031,120.157857
紅妃大腸香腸,23.4857501,120.0843006
名東現烤蛋糕,22.9950893,120.1945193
劉記韭菜盒子,23.0027286,120.158511
統大炭烤雞排,23.0116187,120.1984476
阿美芭樂,22.9954745,120.2157516
鄭家孔雀蛤大王,23.0001803,120.1594046
勁辣旋風麻辣鴛鴦鍋(永康旗艦店),23.0312449,120.2575062
悅津鹹粥,22.9975155,120.1984636
阿三哥蚵仔煎(花園夜市店),23.4857501,120.0843006
石精臼牛肉湯,22.9973931,120.199191
阿江炒鱔魚意麵,22.9983651,120.1947658
老鄧牛肉麵,23.0691661,120.1176443
吾亦私私房菜(永華店),22.9895663,120.1787326
派初所鮮火鍋,23.5955897,119.8668251
佐佐義,22.6547207,120.2717782
是吉祥精緻火鍋館,22.977967,120.184158
全佑甘草芭樂,22.9915755,120.2194661
所長茶葉蛋(安平店),22.9981965,120.1712303
郭家慶中街綠豆湯,22.8743227,119.9715824
阿娟鴨肉,22.9902342,120.1946277
銀波布丁(府前老店),23.0132769,120.1678368
小卷米粉((原國華街老店)),22.9634647,120.182239
依蕾特(安平一店),22.9981603,120.1720368
傑 旗魚黑輪,23.0106017,120.1972795
洪瑞珍(台南店),22.996209,120.2050838
Kinks Pub 老房子,22.9905213,120.2099336
古拉爵(台南大遠百成功店),22.9962855,120.2121135
阿川紅燒魚土魠魚羹,22.9902756,120.1935026
松村煙燻滷味(赤崁店),22.9966073,120.2006447
秋收碳烤,22.988819,120.2078933
愛夏子あいさつ,22.9859779,120.200064
麻豆驢子廚房(原麻豆PASA廚房),23.2204036,120.2192073
五花馬水餃館(台南裕農店),22.9890651,120.2209557
伊莉的店,22.9834237,120.2034578
勾勾鍋 鴛鴦火鍋,22.9889419,120.2083566
永恒天詩義式美食館,22.9891476,120.1830312
二師兄古早滷味,22.9967528,120.1905826
全壘打牛排,23.0064779,120.1882518
上海華都小吃,22.9941042,120.2040007
福榮小吃店,22.9932274,120.1957166
福樂屋,23.4857501,120.0843006
萬川號,22.9919988,120.2054482
老四川巴蜀麻辣燙(台南店),22.9893079,120.1839874
安平貴記美食文化館,23.000662,120.1602692
鎮傳四神湯,22.9969853,120.1996177
三十八番日式居酒屋,22.998146,120.199885
蔡家豬血攤(赤崁分店),22.9963106,120.200176
來碗拉麵,23.4536269,120.0731042
麻糬叔叔(花園夜市店),23.0110354,120.1979168
惠比壽鯛魚燒,22.9938036,120.208545
八寶彬圓仔惠,22.9953767,120.1616755
